Date,County,Date in Selected Range Filter,Month Name,Product Detail Selector,Month Year,Tooltip Date,Sales,Sales Detail
12/1/2016,Douglas,TRUE,December,Total,12/1/2016,Dec-16,95528.4,95528.4
12/1/2016,Douglas,TRUE,December,Total,12/1/2016,Dec-16,1904.5,1904.5
12/1/2016,Douglas,TRUE,December,Total,12/1/2016,Dec-16,489,489
12/1/2016,Douglas,TRUE,December,Total,12/1/2016,Dec-16,16,16
12/1/2016,Douglas,TRUE,December,Total,12/1/2016,Dec-16,4544.7,4544.7
12/1/2016,Hood River,TRUE,December,Total,12/1/2016,Dec-16,316.75,316.75
12/1/2016,Hood River,TRUE,December,Total,12/1/2016,Dec-16,20729.81,20729.81
12/1/2016,Hood River,TRUE,December,Total,12/1/2016,Dec-16,17338.16,17338.16
12/1/2016,Hood River,TRUE,December,Total,12/1/2016,Dec-16,3051.57,3051.57
12/1/2016,Hood River,TRUE,December,Total,12/1/2016,Dec-16,62169.21,62169.21
12/1/2016,Hood River,TRUE,December,Total,12/1/2016,Dec-16,2924.6,2924.6
12/1/2016,Hood River,TRUE,December,Total,12/1/2016,Dec-16,2175.76,2175.76
12/1/2016,Hood River,TRUE,December,Total,12/1/2016,Dec-16,591.77,591.77
12/1/2016,Hood River,TRUE,December,Total,12/1/2016,Dec-16,2445.91,2445.91
12/1/2016,Jackson,TRUE,December,Total,12/1/2016,Dec-16,43055.24,43055.24
12/1/2016,Jackson,TRUE,December,Total,12/1/2016,Dec-16,2509.25,2509.25
12/1/2016,Jackson,TRUE,December,Total,12/1/2016,Dec-16,29433.4,29433.4
12/1/2016,Jackson,TRUE,December,Total,12/1/2016,Dec-16,2343.6,2343.6
12/1/2016,Jackson,TRUE,December,Total,12/1/2016,Dec-16,7802.14,7802.14
12/1/2016,Jackson,TRUE,December,Total,12/1/2016,Dec-16,178601.42,178601.42
12/1/2016,Jackson,TRUE,December,Total,12/1/2016,Dec-16,17199.37,17199.37
12/1/2016,Jackson,TRUE,December,Total,12/1/2016,Dec-16,2007,2007
12/1/2016,Jackson,TRUE,December,Total,12/1/2016,Dec-16,845,845
12/1/2016,Jackson,TRUE,December,Total,12/1/2016,Dec-16,8777.88,8777.88
12/1/2016,Jackson,TRUE,December,Total,12/1/2016,Dec-16,2348.15,2348.15
12/1/2016,Jackson,TRUE,December,Total,12/1/2016,Dec-16,25977.85,25977.85
