Date,Product Type,County,Month Name,Month Year,Tooltip Date,Market Share County,Sales,Sales Detail
12/1/2016,Other,Deschutes,December,12/1/2016,December 2016,5.58,3480.97,3480.97
12/1/2016,Usable MJ,Deschutes,December,12/1/2016,December 2016,78.27,66056.89,66056.89
12/1/2016,Concentrate/Extract,Douglas,December,12/1/2016,December 2016,14.82,16024,16024
12/1/2016,Edible/Tincture,Douglas,December,12/1/2016,December 2016,2.34,2343.2,2343.2
12/1/2016,Other,Douglas,December,12/1/2016,December 2016,0.15,164,164
12/1/2016,Usable MJ,Douglas,December,12/1/2016,December 2016,82.7,95528.4,95528.4
12/1/2016,Concentrate/Extract,Douglas,December,12/1/2016,December 2016,14.82,1904.5,1904.5
12/1/2016,Edible/Tincture,Douglas,December,12/1/2016,December 2016,2.34,489,489
12/1/2016,Other,Douglas,December,12/1/2016,December 2016,0.15,16,16
12/1/2016,Usable MJ,Douglas,December,12/1/2016,December 2016,82.7,4544.7,4544.7
12/1/2016,Concentrate/Extract,Hood River,December,12/1/2016,December 2016,21.45,316.75,316.75
12/1/2016,Concentrate/Extract,Hood River,December,12/1/2016,December 2016,21.45,20729.81,20729.81
12/1/2016,Edible/Tincture,Hood River,December,12/1/2016,December 2016,17.46,17338.16,17338.16
12/1/2016,Other,Hood River,December,12/1/2016,December 2016,3.26,3051.57,3051.57
12/1/2016,Usable MJ,Hood River,December,12/1/2016,December 2016,57.82,62169.21,62169.21
12/1/2016,Concentrate/Extract,Hood River,December,12/1/2016,December 2016,21.45,2924.6,2924.6
12/1/2016,Edible/Tincture,Hood River,December,12/1/2016,December 2016,17.46,2175.76,2175.76
